No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture ,Head Posture,Sensor 1,Sensor 2 ,Sensor 3,Sensor 4
112,52,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),625,477,630,541
113,53,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),632,470,629,533
114,54,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),635,485,628,536
115,55,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),626,482,638,538
116,56,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),630,480,628,536
117,57,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),626,480,623,533
118,58,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),628,477,633,527
119,59,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),624,468,627,535
120,60,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),626,477,623,538
121,1,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),640,506,640,553
122,2,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),639,512,638,553
123,3,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),641,519,634,555
124,4,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),644,508,647,555
125,5,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),649,510,643,560
126,6,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),641,514,644,550
127,7,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),646,517,642,560
128,8,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),644,513,643,552
129,9,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),643,521,638,547
130,10,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),642,508,646,560
131,11,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),644,519,643,560
132,12,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),646,518,645,549
133,13,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),645,514,648,555
134,14,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),643,516,653,557
135,15,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),642,516,653,555
136,16,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),643,512,655,553
137,17,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),649,514,638,561
138,18,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),646,513,640,549
139,19,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),640,509,642,559
140,20,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),649,522,640,556
141,21,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),639,505,641,554
142,22,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),648,513,637,550
143,23,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),647,515,637,559
144,24,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),640,508,643,556
145,25,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),648,514,646,560
146,26,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),647,514,643,553
147,27,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),646,525,641,547
148,28,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),644,508,639,553
149,29,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),640,518,647,560
150,30,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),646,528,642,561
151,31,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),649,521,644,561
152,32,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),641,520,639,552
153,33,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),644,518,642,546
154,34,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),650,529,644,557
155,35,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),644,514,638,552
156,36,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),646,514,638,560
157,37,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),647,509,642,553
158,38,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),643,525,657,550
159,39,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),649,515,642,556
160,40,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),653,516,637,562
161,41,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),643,517,646,551
162,42,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),645,514,644,552
163,43,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),646,531,647,552
164,44,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),651,527,646,557
165,45,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),648,518,654,563
166,46,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),644,529,636,560
167,47,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),648,512,639,558
168,48,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),643,516,650,554
169,49,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),647,505,640,555
170,50,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),651,519,648,558
171,51,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),656,513,642,553
172,52,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),642,524,647,556
173,53,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),638,523,646,550
174,54,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),647,503,643,551
175,55,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),641,516,646,558
176,56,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),653,513,648,557
177,57,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),648,529,638,558
178,58,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),644,513,646,554
179,59,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),644,517,646,555
180,60,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neutral Position(Best Position),648,512,637,555
181,1,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,653,541,654,561
182,2,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,658,566,658,564
183,3,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,662,568,654,561
184,4,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,663,541,652,565
185,5,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,557,653,561
186,6,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,658,550,662,573
187,7,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,541,666,573
188,8,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,662,543,650,571
189,9,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,665,537,653,569
190,10,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,544,651,560
191,11,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,657,561,651,569
192,12,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,661,556,660,564
193,13,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,547,652,560
194,14,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,673,555,658,560
195,15,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,661,545,662,561
196,16,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,663,540,660,564
197,17,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,666,549,659,562
198,18,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,659,545,660,571
199,19,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,546,661,567
200,20,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,663,548,657,563
201,21,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,661,559,665,569
202,22,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,662,558,656,569
203,23,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,663,537,658,567
204,24,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,666,546,660,563
205,25,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,547,652,566
206,26,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,657,552,653,566
207,27,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,565,662,566
208,28,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,667,562,650,567
209,29,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,545,654,567
210,30,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,657,549,657,567
211,31,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,662,556,652,572
212,32,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,663,563,649,574
213,33,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,662,559,653,564
214,34,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,542,652,560
215,35,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,659,549,654,572
216,36,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,667,547,655,574
217,37,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,667,556,657,567
218,38,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,663,535,657,567
219,39,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,536,653,569
220,40,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,668,552,661,566
221,41,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,667,540,657,569
222,42,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,657,555,658,568
223,43,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,668,551,658,567
224,44,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,658,555,660,563
225,45,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,554,658,576
226,46,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,559,656,574
227,47,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,665,551,656,560
228,48,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,661,543,658,566
229,49,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,658,544,660,569
230,50,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,662,546,659,566
231,51,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,671,548,656,572
232,52,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,665,550,660,567
233,53,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,663,537,656,580
234,54,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,662,532,662,573
235,55,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,665,552,660,568
236,56,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,666,543,663,571
237,57,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,665,539,663,561
238,58,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,663,551,657,559
239,59,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,665,540,652,572
240,60,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Neck Extension,664,527,649,567
241,1,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),664,530,673,558
242,2,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),665,529,679,571
243,3,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),651,535,663,571
244,4,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),654,524,679,565
245,5,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),662,525,677,571
246,6,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),663,525,678,575
247,7,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),660,526,681,575
248,8,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),656,532,682,564
249,9,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),657,531,671,571
250,10,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),663,536,672,570
251,11,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),654,526,675,574
252,12,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),658,528,674,566
253,13,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),661,529,681,580
254,14,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),654,520,679,572
255,15,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),658,532,668,574
256,16,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),654,526,679,572
257,17,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),655,533,670,566
258,18,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),653,537,672,571
259,19,Male,M,43,35,34,49,48,48,65,69,Acceptable Round Shoulder,Poking Chin (Extreme),661,525,675,578
